model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,255.22968460524908,-7.499027500383785
Naive,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,187.61232761642975,-7.311999466883333
Naive,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,248.0265546124633,-7.478584843119737
Naive,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,495.70737452821083,6877.458967553928,8148.008091311589,6541.164928486584,8484.302130378932,2391.1975936024733,-21.64018752296348
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7865.332486311103,447.64802181841236,7291.648463136594,8439.016509485611,6987.958485796438,8742.706486825768,109.77295957347268,-7.037427108352184
ARIMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7901.050213566934,664.4739657721757,7049.492562467707,8752.60786466616,6598.705171989005,9203.395255144864,419.0404661788299,-7.959481359574079
ARIMA,2020-01-01,2020-07-01,6,validation,7095.831822594811,7424.776462922115,921.0440498573149,6244.411018891566,8605.141906952664,5619.5632970269135,9229.989628817317,261.619315873026,-7.808222037412593
ARIMA,2020-01-01,2021-01-01,12,validation,4841.863004371764,7397.165194357229,1293.670958374674,5739.259152352065,9055.071236362393,4861.616708097522,9932.713680616936,1848.8965878649608,-10.03495134500668
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7633.978324672564,454.39371696025495,7051.649345328337,8216.307304016791,6743.383004629201,8524.573644715925,186.19634285592758,-7.266936278035921
VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7678.858651978053,454.39371696025495,7096.5296726338265,8261.187631322278,6788.2633319346905,8569.453972021416,284.0658599228939,-7.571333050554565
VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7764.028205591629,454.39371696025495,7181.699226247402,8346.357184935856,6873.432885548266,8654.62352563499,440.3073279637417,-8.119121426807263
